shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
400000,86,43.344360,-8.415650,2071.270631382712
400000,87,43.344450,-8.415560,2083.644762428615
400000,88,43.344490,-8.415430,2095.0594909100555
400000,89,43.344590,-8.415240,2114.025494727196
400000,90,43.344740,-8.415100,2134.184015662342
400000,91,43.344830,-8.415060,2144.7013284886243
400000,92,43.344930,-8.415040,2155.937836726241
400000,93,43.345080,-8.415070,2172.792598364838
400000,94,43.345250,-8.414970,2193.352764928354
400000,95,43.345300,-8.414920,2200.2272480952847
400000,96,43.345700,-8.414130,2278.0687117627544
400000,97,43.346370,-8.413000,2395.9664370037294
400000,98,43.346860,-8.412270,2476.298196335891
400000,99,43.347230,-8.411810,2531.762272159477
400000,100,43.347800,-8.411210,2611.5812200256164
